num_opportunities,EMP_2016,ERP_2016,,
647,55474.78196,2187.526738,2.64E+01,
650,472798.9428,2866.818739,2.95E+02,
651,480779.715,3678.510945,3.85E+02,
652,495984.4995,2263.025805,2.44E+02,
653,437161.7269,1511.78053,1.44E+02,
654,639860.3358,2687.485296,3.74E+02,
655,422992.3873,4841.378685,4.46E+02,
656,744627.5205,70.04046825,1.14E+01,
657,549606.0851,4472.002741,5.35E+02,
658,347926.4071,2308.031923,1.75E+02,
659,291904.8614,651.0972864,4.14E+01,
660,441757.5454,3216.795286,3.09E+02,
661,298925.78,2205.192446,1.44E+02,
662,47690.08571,810.3315117,8.41E+00,
663,263689.7261,225.5083378,1.29E+01,
664,63716.93844,2758.692998,3.83E+01,
665,560841.3927,1511.593588,1.85E+02,
666,837432.2889,1567.136113,2.86E+02,
667,201655.3458,696.7393891,3.06E+01,
668,664039.7039,2117.934632,3.06E+02,
700,63716.93844,2009.130965,2.79E+01,
701,30224.02979,2793.43229,1.84E+01,
702,172019.2556,3371.898018,1.26E+02,
703,130732.8981,2223.251486,6.33E+01,
704,95485.63046,2115.448138,4.40E+01,
705,588835.6974,2363.330331,3.03E+02,
706,618718.5416,1409.481407,1.90E+02,
707,538324.2271,2203.74078,2.58E+02,
710,208977.678,6234.69816,2.84E+02,
711,719435.8105,95.91051375,1.50E+01,
712,303729.89,3415.120023,2.26E+02,
713,179082.4899,1613.208144,6.29E+01,
714,83507.19312,2455.254973,4.46E+01,
715,61653.92526,59.03959299,7.93E-01,
716,171493.9886,1894.4172,7.07E+01,
717,46877.66155,1554.016919,1.59E+01,
718,403620.6655,2299.222799,2.02E+02,
719,843943.7991,604.5423487,1.11E+02,
720,559568.8593,576.5268472,7.02E+01,
723,579893.0837,2509.848709,3.17E+02,
724,459213.609,1338.090531,1.34E+02,
725,629308.9916,3723.574557,5.10E+02,
726,335287.2468,3718.9361,2.71E+02,
727,432270.0703,2574.728544,2.42E+02,
728,413801.5051,3013.455818,2.72E+02,
731,497472.8089,2341.531687,2.54E+02,
732,340770.9955,2537.408848,1.88E+02,
733,600620.8346,3264.775049,4.27E+02,
734,642789.5762,3293.934418,4.61E+02,
735,360184.2618,2697.592473,2.12E+02,
736,973510.8842,133.0827586,2.82E+01,
