num_opportunities,Base 30 Mins,30 Mins,Base 45 Mins,45 Mins,Base 60 Mins,60 Mins,TZ16_CODE,,TZ16_NAME,Tz16_Area
128,637911.8593,510.7633408,1033739.204,992.3898383,1395808.269,4122.590449,128,YES,Little Hay St and Sussex St_Chinatown,5928.615293
129,654747.4184,-6.74E-06,1057052.691,2523.603678,1432855.552,941.1650511,129,YES,Goulburn St and George St,14109.95469
130,639290.6589,3.94E-05,1034202.718,2523.603254,1405441.311,4122.590565,130,YES,Scruffy Murphys,22704.04237
131,616418.236,3.28E-06,993193.0193,10450.0487,1404673.152,5025.431154,131,YES,Regis Tower,18089.7868
132,642089.0193,612.8431232,990589.4463,19233.03541,1408307.291,12218.79183,132,YES,Goulburn St and Wentworth St,20109.46225
133,645309.6247,3.26E-05,1041246.244,1927.493667,1426175.077,4122.59058,133,YES,Capitol Square,11803.27491
134,677362.096,-2.10E-05,1089775.298,3370.669604,1473526.069,4122.590369,134,YES,Sydney CBD_Belmore Park,63159.93173
135,617862.2285,4.55E-05,1006591.963,1927.49437,1401314.795,4122.590953,135,YES,Paddys Market,19807.01643
136,487476.476,-3.20E-05,868819.541,1127.162087,1271853.504,5794.503772,136,YES,UTS_Ultimo_East,37750.69755
137,617862.2285,4.55E-05,1006828.188,1927.494251,1403728.762,4122.590743,137,YES,Hay St and George St,6217.884181
138,684073.3822,2.69E-05,1065427.61,2523.603346,1445122.47,640.5253317,138,YES,Central Square MLR Stop,6141.059324
139,661278.1732,1.92E-05,1049835.898,1927.493674,1434412.626,941.1648655,139,YES,Parker St and Hay St,4997.040586
140,617134.8287,-7.72E-06,1012511.968,1927.493854,1419902.466,4122.590568,140,YES,Sydney CBD_Sydney Central Building,10195.43286
141,588073.7831,-2.72E-06,989478.985,777.9983554,1380284.493,4122.59101,141,YES,Ultimo St and Hay St,8099.011109
142,654730.7362,8.58E-06,1026039.214,2121.701089,1431011.374,941.164797,142,YES,Ultimo St and George St,22076.00184
143,691644.6044,-2.43E-05,1077478.195,4468.997779,1464323.018,194.2069131,143,YES,Sydney CBD_McKell Building,6937.284639
144,589337.8661,-4.73E-05,985828.5724,777.9983608,1391643.945,1631.728629,144,YES,Sydney TAFE,26313.20257
145,695087.511,-1.21E-05,1091212.442,4468.997916,1467470.861,640.5245689,145,YES,Rawson St and Pitt St,14492.18868
146,757147.877,3.96E-05,1204923.44,5108.94497,1577093.343,941.1647767,146,YES,Central Station,133134.5415
147,16745.5369,1.60E-06,436501.7124,7795.712931,792492.2998,19769.92396,147,YES,Goat Island,64184.28731
