num_opportunities,EMP_2016,,,,
608,23136.88817,-1.2E-06,23136.88817,23136.88817,0
609,76118.5177,2.76E-06,76118.5177,75617.0236,501.4940992
610,38289.7653,-2.15E-06,38289.7653,38289.7653,0
611,207488.0945,2.175E-05,207488.0945,207488.0945,0
612,37665.7225,3.2E-06,37665.7225,37665.7225,0
613,263373.6115,3.605E-05,263373.6115,223122.3921,40251.2194
614,36675.468845460004,0,36675.468845460004,36675.468845460004,0
615,135836.1104,698.7010486,135137.4094,60481.51858,74655.89084
616,21173.51893,2.25E-06,21173.51893,21173.51893,0
617,36317.41636,-2.65001E-06,36317.41636,36317.41636,0
618,71519.5857,-4.03999E-06,71519.5857,70816.30731,703.2783814
619,142496.2827,2.373E-05,142496.2827,32321.08217,110175.2005
620,151213.3798,1.403E-05,151213.3798,38628.57284,112584.807
621,61723.08838,4.83E-06,61723.08838,39478.27196,22244.81642
622,40987.50507,-3.25E-06,40987.50507,40987.50507,0
624,141139.4507,698.7009974,140440.7497,19080.807825070002,121359.9418
625,18350.46295,3.7E-06,18350.46295,17223.30088,1127.162071
626,492.7850103,0,492.7850103,492.7850103,0
627,20099.95996,3.38E-06,20099.95996,14787.8065,5312.153466
628,14843.49449,3.2E-06,14843.49449,14843.49449,0
629,14805.54212,4.27E-06,14805.54212,14805.54212,0
630,15361.61617,-1.83E-06,15361.61617,14860.12207,501.4940992
